"Dates","ARCELOR.MITTAL"
"2001-09-21",3.6969
"2001-09-24",3.71895
"2001-09-25",3.68585
"2001-09-26",3.6638
"2001-09-27",3.42105
"2001-09-28",3.3217
"2001-10-01",3.7631
"2001-10-02",3.64175
"2001-10-03",3.53135
"2001-10-04",3.64175
"2001-10-05",3.56445
"2001-10-08",3.56445
"2001-10-09",3.7521
"2001-10-10",3.73
"2001-10-11",3.53135
"2001-10-12",3.6307
"2001-10-15",3.4762
"2001-10-16",3.4762
"2001-10-17",3.42105
"2001-10-18",3.41
"2001-10-19",3.08995
"2001-10-22",2.94645
"2001-10-23",3.14515
"2001-10-24",3.14515
"2001-10-25",2.83615
"2001-10-26",2.7589
"2001-10-29",2.8692
"2001-10-30",2.59335
"2001-10-31",2.2071
"2001-11-01",2.0857
"2001-11-02",2.2402
"2001-11-05",2.21815
"2001-11-06",2.25125
"2001-11-07",2.15195
"2001-11-08",2.22915
"2001-11-09",2.35055
"2001-11-12",2.803
"2001-11-13",2.52715
"2001-11-14",2.5492
"2001-11-15",2.78095
"2001-11-16",2.83615
"2001-11-19",3.35485
"2001-11-20",3.77415
"2001-11-21",3.89555
"2001-11-22",4.08315
"2001-11-23",3.9066
"2001-11-26",3.9728
"2001-11-27",3.9066
"2001-11-28",3.64175
"2001-11-29",3.58655
"2001-11-30",3.39895
"2001-12-03",3.1672
"2001-12-04",3.64175
"2001-12-05",3.91765
"2001-12-06",4.1163
"2001-12-07",4.0611
"2001-12-10",4.0611
"2001-12-11",4.2597
"2001-12-12",4.039
"2001-12-13",4.1604
"2001-12-14",4.1273
"2001-12-17",4.0942
"2001-12-18",4.10525
"2001-12-19",4.10525
"2001-12-20",4.11625
"2001-12-21",4.2156
"2001-12-24",3.9728
"2001-12-25",3.9728
"2001-12-26",3.9728
"2001-12-27",4.0611
"2001-12-28",4.2487
"2001-12-31",4.2487
"2002-01-01",4.2487
"2002-01-02",4.13835
"2002-01-03",4.2818
"2002-01-04",4.32595
"2002-01-07",4.6239
"2002-01-08",4.75635
"2002-01-09",4.8336
"2002-01-10",4.75635
"2002-01-11",4.7784
"2002-01-14",4.61285
"2002-01-15",4.54665
"2002-01-16",4.5135
"2002-01-17",4.41425
"2002-01-18",4.3259
"2002-01-21",4.6349
"2002-01-22",4.5025
"2002-01-23",4.35905
"2002-01-24",4.4694
"2002-01-25",4.4694
"2002-01-28",4.2487
"2002-01-29",4.25975
"2002-01-30",4.17145
"2002-01-31",4.27075
"2002-02-01",4.3259
"2002-02-04",4.1494
"2002-02-05",4.1163
"2002-02-06",4.06105
"2002-02-07",4.2708
"2002-02-08",4.2156
"2002-02-11",4.028
"2002-02-12",3.9176
"2002-02-13",3.86245
"2002-02-14",3.78515
"2002-02-15",3.80725
"2002-02-18",3.80725
"2002-02-19",3.7521
"2002-02-20",3.6969
"2002-02-21",3.6417
"2002-02-22",3.4872
"2002-02-25",3.421
"2002-02-26",3.421
"2002-02-27",3.58655
"2002-02-28",3.6969
"2002-03-01",3.71895
"2002-03-04",3.80725
"2002-03-05",3.7852
"2002-03-06",3.9066
"2002-03-07",3.86245
"2002-03-08",3.8183
"2002-03-11",3.65275
"2002-03-12",3.4872
"2002-03-13",3.6417
"2002-03-14",3.6086
"2002-03-15",3.57555
"2002-03-18",3.86245
"2002-03-19",3.6638
"2002-03-20",3.75205
"2002-03-21",3.58655
"2002-03-22",3.73
"2002-03-25",3.54245
"2002-03-26",3.4762
"2002-03-27",3.8514
"2002-03-28",3.9618
"2002-03-29",3.9618
"2002-04-01",3.9618
"2002-04-02",4.53565
"2002-04-03",4.72325
"2002-04-04",4.8667
"2002-04-05",5.7716
"2002-04-08",5.7606
"2002-04-09",5.99235
"2002-04-10",6.38955
"2002-04-11",6.78685
"2002-04-12",6.8862
"2002-04-15",6.89725
"2002-04-16",6.33445
"2002-04-17",6.4558
"2002-04-18",6.34545
"2002-04-19",6.3013
"2002-04-22",5.89295
"2002-04-23",5.73845
"2002-04-24",5.34125
"2002-04-25",5.1315
"2002-04-26",5.1205
"2002-04-29",5.5178
"2002-04-30",5.99235
"2002-05-01",5.99235
"2002-05-02",6.3565
"2002-05-03",6.202
"2002-05-06",6.202
"2002-05-07",6.202
"2002-05-08",5.87095
"2002-05-09",6.202
"2002-05-10",5.8378
"2002-05-13",5.7385
"2002-05-14",5.8047
"2002-05-15",6.09165
"2002-05-16",6.19095
"2002-05-17",6.16885
"2002-05-20",6.3234
"2002-05-21",6.23505
"2002-05-22",6.12475
"2002-05-23",6.12475
"2002-05-24",6.06955
"2002-05-27",6.12475
"2002-05-28",6.12475
"2002-05-29",5.9592
"2002-05-30",5.7385
"2002-05-31",5.7385
"2002-06-03",6.35645
"2002-06-04",6.4006
"2002-06-05",6.4006
"2002-06-06",6.72065
"2002-06-07",6.2903
"2002-06-10",6.6434
"2002-06-11",6.78685
"2002-06-12",6.7758
"2002-06-13",6.8641
"2002-06-14",6.4889
"2002-06-17",6.65445
"2002-06-18",6.7317
"2002-06-19",6.78685
"2002-06-20",6.57715
"2002-06-21",6.6213
"2002-06-24",6.6213
"2002-06-25",6.73165
"2002-06-26",6.34545
"2002-06-27",6.34545
"2002-06-28",6.7096
"2002-07-01",6.511
"2002-07-02",6.42265
"2002-07-03",6.42265
"2002-07-04",6.42265
"2002-07-05",6.511
"2002-07-08",6.7317
"2002-07-09",6.6765
"2002-07-10",6.6765
"2002-07-11",6.3896
"2002-07-12",6.1799
"2002-07-15",6.22405
"2002-07-16",6.22405
"2002-07-17",6.22405
"2002-07-18",5.7164
"2002-07-19",5.7164
"2002-07-22",5.7385
"2002-07-23",5.21985
"2002-07-24",5.07635
"2002-07-25",5.7937
"2002-07-26",6.38955
"2002-07-29",6.34545
"2002-07-30",6.1247
"2002-07-31",6.23505
"2002-08-01",5.9592
"2002-08-02",5.7385
"2002-08-05",5.9371
"2002-08-06",5.4074
"2002-08-07",5.9923
"2002-08-08",5.9592
"2002-08-09",5.9592
"2002-08-12",5.9592
"2002-08-13",5.9592
"2002-08-14",5.7385
"2002-08-15",5.84885
"2002-08-16",5.84885
"2002-08-19",5.7385
"2002-08-20",5.7385
"2002-08-21",5.7385
"2002-08-22",5.8378
"2002-08-23",5.9592
"2002-08-26",5.9592
"2002-08-27",5.9592
"2002-08-28",5.7495
"2002-08-29",5.7495
"2002-08-30",5.7495
"2002-09-02",5.7716
"2002-09-03",5.7164
"2002-09-04",5.5398
"2002-09-05",5.5619
"2002-09-06",5.5619
"2002-09-09",5.6833
"2002-09-10",5.62815
"2002-09-11",5.62815
"2002-09-12",5.62815
"2002-09-13",5.40745
"2002-09-16",5.40745
"2002-09-17",5.7385
"2002-09-18",5.60605
"2002-09-19",5.5178
"2002-09-20",4.966
"2002-09-23",5.3412
"2002-09-24",5.16465
"2002-09-25",5.16465
"2002-09-26",4.82255
"2002-09-27",4.9108
"2002-09-30",4.95495
"2002-10-01",4.6349
"2002-10-02",4.76735
"2002-10-03",4.9329
"2002-10-04",4.9881
"2002-10-07",5.0764
"2002-10-08",5.5178
"2002-10-09",5.5178
"2002-10-10",5.2971
"2002-10-11",5.2419
"2002-10-14",5.5178
"2002-10-15",5.4074
"2002-10-16",5.4074
"2002-10-17",5.4074
"2002-10-18",5.4074
"2002-10-21",5.07635
"2002-10-22",5.40745
"2002-10-23",5.4626
"2002-10-24",5.59505
"2002-10-25",5.70535
"2002-10-28",5.7385
"2002-10-29",5.79365
"2002-10-30",5.57295
"2002-10-31",5.66125
"2002-11-01",5.88195
"2002-11-04",5.8378
"2002-11-05",5.62815
"2002-11-06",5.6833
"2002-11-07",5.50675
"2002-11-08",5.50675
"2002-11-11",5.50675
"2002-11-12",5.66125
"2002-11-13",5.5178
"2002-11-14",5.5178
"2002-11-15",5.2971
"2002-11-18",5.45155
"2002-11-19",5.45155
"2002-11-20",5.14255
"2002-11-21",5.38535
"2002-11-22",5.2971
"2002-11-25",5.2971
"2002-11-26",5.2419
"2002-11-27",5.50675
"2002-11-28",5.4957
"2002-11-29",5.29705
"2002-12-02",5.35225
"2002-12-03",5.19775
"2002-12-04",4.91085
"2002-12-05",5.28605
"2002-12-06",5.39635
"2002-12-09",5.1867
"2002-12-10",5.1867
"2002-12-11",5.1867
"2002-12-12",5.1867
"2002-12-13",5.16465
"2002-12-16",5.07635
"2002-12-17",4.92185
"2002-12-18",5.1205
"2002-12-19",5.13155
"2002-12-20",5.13155
"2002-12-23",4.7784
"2002-12-24",4.8556
"2002-12-25",4.8556
"2002-12-26",4.8556
"2002-12-27",4.8115
"2002-12-30",4.7122
"2002-12-31",4.66805
"2003-01-01",4.66805
"2003-01-02",4.74525
"2003-01-03",4.78945
"2003-01-06",4.7453
"2003-01-07",4.7453
"2003-01-08",4.6901
"2003-01-09",4.7453
"2003-01-10",4.8005
"2003-01-13",4.8005
"2003-01-14",5.07635
"2003-01-15",5.17565
"2003-01-16",5.5619
"2003-01-17",5.60605
"2003-01-20",5.6281
"2003-01-21",5.6281
"2003-01-22",5.48465
"2003-01-23",5.48465
"2003-01-24",5.48465
"2003-01-27",5.3081
"2003-01-28",5.4405
"2003-01-29",5.1426
"2003-01-30",5.1426
"2003-01-31",5.45155
"2003-02-03",5.26395
"2003-02-04",5.26395
"2003-02-05",5.26395
"2003-02-06",5.7385
"2003-02-07",5.45155
"2003-02-10",5.56195
"2003-02-11",5.35225
"2003-02-12",5.5178
"2003-02-13",5.6281
"2003-02-14",5.6281
"2003-02-17",5.57295
"2003-02-18",5.4626
"2003-02-19",5.4626
"2003-02-20",5.4626
"2003-02-21",5.4626
"2003-02-24",5.4626
"2003-02-25",5.2971
"2003-02-26",5.19775
"2003-02-27",5.1867
"2003-02-28",5.57295
"2003-03-03",5.62815
"2003-03-04",5.62815
"2003-03-05",5.62815
"2003-03-06",5.85985
"2003-03-07",5.77155
